City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,beyneu,45.3167,55.2,31.62,26,0,4.35,KZ,1720413224
314,lakatoro,-16.0999,167.4164,24.59,74,98,9.33,VU,1720413226
315,armacao de buzios,-22.7469,-41.8817,21.03,85,8,3.41,BR,1720413227
316,port lincoln,-34.7333,135.8667,13.65,82,100,6.48,AU,1720413228
317,new plymouth,-39.0667,174.0833,12.95,100,14,0.64,NZ,1720412695
318,meadow lake,34.8014,-106.5436,27.78,15,35,5.04,US,1720413230
319,tongging,2.8969,98.5262,16.8,94,100,1.55,ID,1720413232
320,kodiak,57.79,-152.4072,10.73,82,0,2.57,US,1720413233
321,el fasher,13.6279,25.3494,28.73,39,68,1.81,SD,1720413234
322,kayangel,8.0823,134.7173,29.52,74,82,5.1,PW,1720413236
323,kolokani,13.5728,-8.0339,25.24,78,95,4.14,ML,1720413237
324,yanda bayo,11.5071,10.7459,25.53,70,91,3.54,NG,1720413238
325,kanel,15.4916,-13.1763,27.0,83,0,3.09,SN,1720413239
326,spring creek,40.7266,-115.5859,24.83,18,0,2.64,US,1720413241
327,praia da vitoria,38.7333,-27.0667,22.14,88,20,5.35,PT,1720413242
328,miri,4.4148,114.0089,31.08,74,40,2.57,MY,1720413243
329,les cayes,18.2,-73.75,26.0,84,100,1.53,HT,1720413244
330,zuni pueblo,35.0725,-108.8506,18.35,11,9,3.14,US,1720413246
331,bardai,11.65,7.2333,22.47,86,91,3.52,NG,1720413247
332,sao miguel do araguaia,-13.275,-50.1628,22.04,42,2,1.92,BR,1720413248
333,san andres,12.5847,-81.7006,28.01,89,20,3.09,CO,1720413249
334,chibougamau,49.9168,-74.3659,16.79,77,0,1.03,CA,1720413251
335,bahce,37.1972,36.5766,26.05,65,22,2.26,TR,1720413252
336,elliot,-31.3333,27.85,0.44,73,68,10.42,ZA,1720413253
337,san pedro de lloc,-7.4328,-79.5058,17.73,88,96,4.7,PE,1720413254
338,ancud,-41.8697,-73.8203,5.32,87,65,2.27,CL,1720413256
339,hotan,37.0997,79.9269,30.58,19,28,2.65,CN,1720413257
340,ghadamis,30.1337,9.5007,29.79,18,0,4.39,LY,1720413258
341,vilyuysk,63.7553,121.6247,27.28,34,71,4.55,RU,1720413259
342,upata,8.0086,-62.3989,24.55,97,37,1.26,VE,1720413261
343,santa ana,33.7456,-117.8678,25.14,81,20,3.09,US,1720413046
344,lorengau,-2.0226,147.2712,24.94,93,100,3.83,PG,1720413263
345,codrington,-38.2667,141.9667,12.87,73,100,5.46,AU,1720413264
346,ola,59.5833,151.2833,12.73,95,100,1.51,RU,1720413266
347,beledweyne,4.7358,45.2036,26.47,57,49,8.61,SO,1720413267
348,bubaque,11.2833,-15.8333,23.81,90,100,3.88,GW,1720413268
349,sinabang,2.4803,96.3801,26.04,87,100,2.75,ID,1720413269
350,aquia harbour,38.4626,-77.3889,26.93,81,0,0.0,US,1720413271
351,talnakh,69.4865,88.3972,19.86,36,9,8.43,RU,1720413272
352,emerald,-23.5333,148.1667,22.41,57,28,4.73,AU,1720413273
353,queenstown,-31.8976,26.8753,2.73,73,42,13.12,ZA,1720412705
354,minas,-34.3759,-55.2377,0.49,73,44,1.63,UY,1720413276
355,holualoa,19.6228,-155.9522,21.81,95,83,2.29,US,1720413277
356,east ballina,-28.8667,153.5833,17.11,78,92,1.56,AU,1720413278
357,horta,38.5333,-28.6333,22.79,95,87,6.71,PT,1720413280
358,yangjiang,21.85,111.9667,31.49,68,16,4.59,CN,1720413281
359,la'ie,21.6477,-157.9253,27.66,72,11,4.47,US,1720413282
360,mahanoro,-19.9,48.8,19.18,71,0,1.67,MG,1720413283
361,alta,69.9689,23.2717,14.59,77,75,2.57,NO,1720413286
362,vernon,50.2581,-119.2691,28.2,36,33,1.03,CA,1720413287
